Question,Predicted_Answer,Reference_Answer,F1_Score,BERTScore_Precision,BERTScore_Recall,BERTScore_F1
"A 43-year-old German man presents to a clinic with fever, cough. He also has some headache and diarrhoea. He reports freshwater contact in Mozambique. On examination he is febrile.",Schistosomiasis.,"Acute schistosomiasis (Katayama fever) - The returning traveler presents with acute febrile illness, respiratory symptoms, and diarrhea after freshwater exposure in Mozambique. The images show Schistosoma eggs with terminal spine (S. haematobium) on microscopy and cercaria in water, representing acute immune response to migrating schistosomula typically occurring 2-8 weeks post-exposure.",0.07999999999999999,0.901052713394165,0.7964515686035156,0.8455293774604797
A 45-year-old man presents to a clinic in Malawi with back pain and progressive difficulty in walking. He denies any constitutional symptoms.,Spinal Tuberculosis (Pott's disease).,"Spinal tuberculosis (Pott's disease) - The patient presents with back pain and progressive neurological symptoms (difficulty walking) without fever in Malawi, a TB-endemic region. The images show vertebral body destruction with collapse and kyphotic deformity on spinal imaging, and acid-fast bacilli (Mycobacterium tuberculosis) on microscopy, characteristic of skeletal tuberculosis affecting the spine.",0.2857142857142857,0.9258525371551514,0.8048322200775146,0.8611111044883728
"A 24-Year-Old Man of Turkish Origin With right upper quadrant pain, jaundice, nausea and vomiting. He was diagnosed with CE 3 years earlier and has not been on any specific treatment.","Hepatic Echinococcosis (Hydatid Disease) with possible complications such as rupture or secondary infection, or possibly Biliary Obstruction due to the cyst.","Cystic echinococcosis (hydatid disease) - The Turkish patient presents with right upper quadrant pain, jaundice, nausea, and vomiting with prior CE (cystic echinococcosis) diagnosis 3 years ago without treatment. The images show large hepatic cystic lesion with daughter cysts and septations on imaging, and Echinococcus granulosus protoscoleces. Hydatid cysts grow slowly over years, can rupture causing anaphylaxis, and require careful surgical or medical management.",0.3,0.8677648305892944,0.8267836570739746,0.8467786908149719
A 36-year-old European presents because of a mobile migratory mass he has been noticing for the past 3 weeks. The mass migrated from his groin to his chest and finally reappearing on his right shoulder,"Loiasis or Subcutaneous Dirofilariasis, more likely to be  Loiasis due to the migratory nature of the mass.","Sparganosis - The patient presents with a characteristic migratory subcutaneous mass. The images show a serpentine subcutaneous swelling and the sparganum larva (plerocercoid of Spirometra species), a parasitic cestode acquired through ingestion of contaminated water or undercooked infected meat, causing creeping eruption.",0.28571428571428575,0.844253659248352,0.8118036389350891,0.8277106881141663
"A 16-year-old boy presents to a clinic in Sri Lanka with a 2-day history of fever, severe body aches and a reduced urine output. He is jaundiced with subconjunctival haemorrhage and has a tender hepatomegaly. He has had contact with a water stream before his ill health.",Leptospirosis.,"Leptospirosis (Weil's disease) - The patient presents with acute febrile illness, severe myalgia, oliguria, jaundice, subconjunctival hemorrhage, and hepatomegaly after water stream contact in Sri Lanka. The images show characteristic conjunctival suffusion/hemorrhage and spirochete bacteria (Leptospira) on microscopy. Severe leptospirosis causes acute kidney injury, hepatic dysfunction, and hemorrhagic manifestations.",0.07999999999999999,0.9291625022888184,0.7881565690040588,0.8528707027435303
A 7-Year-Old Girl from West Africa with two progressive cutaneous ulcers linked by an area of altered skin. The movement in the associated joint is restricted. General symptoms are limited to a mildly elevated temperature.,Buruli Ulcer.,"Buruli ulcer (Mycobacterium ulcerans infection) - The child from West Africa presents with two progressive painless cutaneous ulcers linked by altered skin with joint restriction and minimal systemic symptoms. The images show large undermined ulcers with necrotic base and acid-fast bacilli of M. ulcerans. Buruli ulcer causes painless necrotizing skin disease with characteristic undermined edges, often crossing joints and causing contractures, endemic in tropical wetland areas.",0.1,0.8949238061904907,0.792576789855957,0.8406465649604797
A 32-Year-Old Woman from Malawi With 3-week history of headache and blurred vision. She is wasted and has a unilateral abducens nerve palsy. She is afebrile and has no neck stiffness.,"Tuberculous Meningitis or Cerebral Tuberculoma,  however given the Image is not visible to me, another possible diagnosis could be Cryptococcal Meningitis or potentially a Brain Tumor.","Tuberculous meningitis - The wasted patient presents with subacute headache, blurred vision, and unilateral abducens nerve palsy (cranial nerve VI) without fever or neck stiffness in Malawi. The image shows chronic wasting typical of advanced tuberculosis. TB meningitis characteristically presents with cranial nerve palsies (especially III, VI, VII), altered consciousness, and basilar meningitis, often in HIV-endemic areas with insidious onset over weeks.",0.17500000000000002,0.8379782438278198,0.8151676654815674,0.8264155983924866
A 35-Year-Old Male Farmer from Peru with a chronic ulcerative lesion and multiple painless nodules on his left hand ,Sporotrichosis.,"Sporotrichosis (lymphocutaneous form) - The farmer from Peru presents with chronic ulcerative lesion and multiple painless nodules along lymphatic distribution on the hand. The images show sporotrichoid spread (linear nodular lesions) and cigar-shaped yeast forms of Sporothrix schenckii on microscopy. This dimorphic fungal infection is acquired through traumatic inoculation from soil, plants, or thorns, classically in rose gardeners or farmers.",0.06666666666666667,0.9314073324203491,0.7911577224731445,0.8555729985237122
"A 26-year-old woman presents to a clinic in Malawi with a 2-day history of headache and confusion, with an eyelid drooping on the left side. She is febrile and has a unilateral third nerve palsy",Cerebral Malaria or Tuberculoma or Bacterial Meningitis or Cavernous Sinus Thrombosis.,"Tuberculous Meningitis - The patient presents with neurological symptoms including third nerve palsy and altered consciousness in Malawi, an endemic area.",0.12121212121212122,0.8394898176193237,0.8397096395492554,0.8395997285842896
"A 35-year-old woman presents to a clinic in Malawi with fever, weight loss, fatigue. She is wasted and severely anaemic and she newly tests HIV-positive.",Tuberculosis.,"Visceral leishmaniasis (Kala-azar) - The newly HIV-positive patient presents with chronic fever, weight loss, wasting, and severe anemia in Malawi. The images show massive splenomegaly and amastigotes of Leishmania within macrophages on microscopy. Visceral leishmaniasis is an opportunistic infection in HIV, causing pancytopenia, hepatosplenomegaly, and progressive wasting (kala-azar means 'black fever' in Hindi).",0.039999999999999994,0.8387311100959778,0.7561228275299072,0.7952876091003418
"A 33-Year-Old Male Traveller With weight loss, anorexia, malaise, flatulence and abdominal cramping when passing loose stool (four or five episodes per day). The stools have become greasy and foul-smelling, and he has bloating and distension after consumption of milk or milk products.",Giardiasis. Lactose intolerance. Malabsorption syndrome.,"Giardiasis - The traveler presents with chronic diarrhea, weight loss, malabsorption symptoms with greasy foul-smelling stools, bloating, and lactose intolerance. The images show characteristic 'face-like' appearance of Giardia lamblia trophozoites with two nuclei and flagella, and oval cysts. Giardiasis causes small intestinal infection with malabsorption, steatorrhea, and lactase deficiency, acquired from contaminated water in endemic areas, often affecting travelers.",0.16949152542372883,0.9060525894165039,0.8011574745178223,0.8503825664520264
"A HIV-positive but not on ART 6-year-old boy presents to a clinic in Malawi withhigh fever, dry cough, coryza, conjunctivitis and impaired level of consciousness together with a fine maculopapular rash on the neck and face.",Measles.,"Severe measles with encephalitis - The HIV-positive child not on ART presents with high fever, cough, coryza, conjunctivitis, altered consciousness, and characteristic maculopapular rash on face and neck. The images show the typical measles rash and Koplik spots (white spots on buccal mucosa). Measles can be severe in immunocompromised children, with high risk of pneumonia and encephalitis causing significant morbidity and mortality.",0.07843137254901959,0.904242992401123,0.7767535448074341,0.8356637358665466
A 23-Year-Old Farmer from Myanmar with a 3-year history of left-sided scrotal swelling. The swelling is non-tender and non-reducible,Lymphatic filariasis.,"Lymphatic filariasis with hydrocele - The farmer from Myanmar presents with chronic non-tender, non-reducible scrotal swelling over 3 years. The images show massive hydrocele and microfilariae of Wuchereria bancrofti on blood smear. Lymphatic filariasis, transmitted by mosquitoes, causes chronic lymphatic obstruction leading to hydrocele (most common manifestation in men), lymphedema, and elephantiasis in endemic tropical regions.",0.11320754716981131,0.936749279499054,0.8138869404792786,0.8710067868232727
"A 52-year-old man presents to a clinic in Vietnam with a 4-day history of fever, headache, myalgia, nausea/vomiting, abdominal pain.He has a history of type 2 diabetes mellitus and poorly controlled hypertension. He has mild abdominal distension, with shifting dullness and a tender 3cm liver edge.",Dengue Hemorrhagic Fever.,"Dengue hemorrhagic fever with warning signs - The patient presents with acute febrile illness, abdominal pain, ascites (shifting dullness), and hepatomegaly in Vietnam, a dengue-endemic area. The images show characteristic petechial rash and Aedes mosquito vector. Risk factors include diabetes and hypertension, indicating potential progression to severe dengue.",0.1568627450980392,0.8925493359565735,0.7965172529220581,0.8418033123016357
"A 16-year-old girl presents to a clinic in Malawi with fever, headache, abdominal pain, jaundice. She has recently delivered a baby",Viral Hepatitis.,"Typhoid fever (Enteric fever) - The postpartum patient presents with fever, headache, abdominal pain, and jaundice in Malawi. The images show characteristic rose spots (salmon-colored maculopapular rash) on the trunk and Salmonella typhi bacteria on culture/microscopy. Typhoid can be severe in postpartum women with hepatic involvement causing jaundice.",0.04545454545454545,0.8304216861724854,0.7842276096343994,0.8066638708114624
"A 55-year-old woman presents to a clinic in Australia W with skin lesions/rash/itching. she has fissures over her wrists and knees. She also looks pale, is clammy and poorly responsive.",Pemphigus Foliaceus.,"Scabies with crusted (Norwegian) scabies - The patient presents with severe skin fissures in flexural areas, altered mental status, and pallor. The images show thick hyperkeratotic crusted skin lesions and Sarcoptes scabiei mites on microscopy. Crusted scabies is a severe form with massive mite infestation, often seen in immunocompromised or elderly patients.",0.04166666666666667,0.7749874591827393,0.7855329513549805,0.7802245616912842
"A 31-year-old HIV-positive man presents to a clinic with a 6-week history of fever, chills/sweats, cough, shortness of breath, fatigue and weight loss. He has a history of extensive work-related travel. He is febrile with type 1 respiratory failure ",Pulmonary Tuberculosis.,"Pneumocystis jirovecii pneumonia (PCP) - The HIV-positive patient presents with subacute respiratory symptoms (6 weeks of fever, cough, dyspnea) and type 1 respiratory failure with extensive travel history. The images show chest X-ray with bilateral interstitial infiltrates and Pneumocystis jirovecii cysts on microscopy with characteristic disc-shaped organisms, the most common opportunistic pneumonia in AIDS patients.",0.03846153846153846,0.8555704355239868,0.7847845554351807,0.8186501860618591
A 62-Year-Old Woman from Ethiopia with difficulties chewing. She has been fit and well in the past.,"Trigeminal Neuralgia or Temporomandibular Joint Disorder. However, considering the images and symptoms, a more likely diagnosis is Tetanus infection, given the presence of what appears to be muscle spasms or rigidity in the images, and the symptom of difficulty chewing (lockjaw), which is a classic early sign of tetanus. Therefore, the diagnosis is Tetanus.","Tetanus - The previously healthy woman from Ethiopia presents with difficulty chewing (trismus/lockjaw). The images show characteristic risus sardonicus (grimacing facial expression from facial muscle spasm) and tetanic spasms. Tetanus is caused by Clostridium tetani exotoxin from wound contamination, causing progressive muscle rigidity and painful spasms starting with masseter muscles (lockjaw), requiring urgent management with antitoxin and supportive care.",0.3157894736842105,0.851023256778717,0.837432861328125,0.8441734313964844
"A 32-year-old woman presents to a clinic in Nigeria with fever, headache, jaundice and confusion. She has some fine crepitations at the lung bases. These symptoms developed almost 3 weeks after returning from a visit to rural Nigeria. The patient is of African ethnicity but was born in Europe.",Malaria.,"Severe falciparum malaria with complications - The patient presents with fever, jaundice, altered consciousness, and respiratory symptoms 3 weeks after travel to rural Nigeria. The images show Plasmodium falciparum parasites (ring forms and gametocytes) on blood smear and Anopheles mosquito vector. Delayed presentation with jaundice and confusion indicates severe complicated malaria with possible cerebral and hepatic involvement.",0.07843137254901959,0.892255425453186,0.7744238972663879,0.8291743993759155
A 3-year-old boy presents to a clinic in Laos with a 10-day history of fever and poor appetite. He also has unilateral parotid swelling and purulent discharge from his ear.,"Acute Parotitis, likely secondary to Bacterial infection, possibly complicated by otitis media. Alternatively, the symptoms could be indicative of Mumps, given the parotid swelling, but the presence of purulent discharge from the ear leans more towards a bacterial cause.","Melioidosis with parotitis and mastoiditis - The patient presents with prolonged fever, unilateral parotid swelling, and purulent otorrhea in Laos, highly endemic for Burkholderia pseudomallei. The images show parotid abscess with ear discharge and bipolar-staining gram-negative bacilli (safety-pin appearance) characteristic of Burkholderia pseudomallei, an important tropical infection in Southeast Asia.",0.2716049382716049,0.8608844876289368,0.8240948915481567,0.842087984085083
"A 2-Month-Old Girl from Laos With 3 days of irritability, dyspnoea and grunting. The child has been breastfeeding poorly and was noted to have been grunting, which is a non-specific sign of severe systemic illness in infants. the child is irritable, cyanosed and shows signs of heart failure.","Shoshin Beriberi or more likely, the condition presented is consistent with Beriberi Heart Disease, likely caused by Thiamine (Vitamin B1) deficiency.","Infantile beriberi (thiamine/vitamin B1 deficiency) - The 2-month-old breastfed infant from Laos presents with irritability, dyspnea, grunting, cyanosis, and heart failure. The images show infant with cardiac beriberi features and thiamine chemical structure. Infantile beriberi occurs in breastfed infants of thiamine-deficient mothers (often subsisting on polished rice diets), causing acute cardiac failure (wet beriberi) with tachycardia, cardiomegaly, and pulmonary edema, requiring urgent thiamine replacement.",0.2857142857142857,0.8654615879058838,0.8298680186271667,0.8472911715507507
"A 4-year-old girl presents to a clinic in Uganda with bad headache, shaking chills, seizure about ten minutes.",Cerebral Malaria.,"Cerebral malaria - The patient presents with fever, rigors, seizures and altered consciousness in Uganda, a malaria-endemic region. The images show Plasmodium parasites within red blood cells on blood smear microscopy and Anopheles mosquito vector, consistent with severe Plasmodium falciparum malaria with CNS involvement.",0.14285714285714288,0.9323066473007202,0.7960173487663269,0.8587883710861206
"A 7-year-old girl presents to a clinic in Peru with fever, myalgia, arthralgia, skin lesions/rash/itching, nausea/vomiting.","Bartonella bacilliformis infection, also known as Oroya fever or Carrion's disease, is a possible diagnosis. The symptoms and the images are also consistent with Verruga peruana, a manifestation of Bartonella bacilliformis infection.","Bartonellosis (Carrion's disease/Oroya fever) - The patient presents with acute febrile illness with myalgia and skin lesions in Peru, an endemic region. The images show the characteristic verruga peruana (Peruvian warts) - reddish-purple nodular skin lesions caused by Bartonella bacilliformis transmitted by sandflies.",0.37142857142857144,0.9012596607208252,0.8538833856582642,0.8769320845603943
"A 22-year-old woman presents to a clinic in Bangladesh with acute watery diarrhoea. She is afebrile, with sunken eyes, dry mouth and a scaphoid abdomen. She has recently visited a religious festival where a number of other people who attended have also fallen ill ",Cholera.,"Cholera (Vibrio cholerae infection) - The patient presents with severe acute watery diarrhea, signs of severe dehydration (sunken eyes, dry mouth, scaphoid abdomen) after attending a crowded gathering in Bangladesh, an endemic area. The images show characteristic rice-water stool appearance and comma-shaped Vibrio cholerae bacteria on microscopy, typical of epidemic cholera.",0.07843137254901959,0.9521496295928955,0.7855271697044373,0.8608497977256775
"A 53-Year-Old Man from Malawi presents to a local hospital with a 3-month history of productive cough, whitish sputum, night sweats and weight loss.  he is newly diagnosed with HIV-infection and advanced immunosuppression.",Tuberculosis.,"Pulmonary tuberculosis (HIV-associated) - The newly HIV-positive patient with advanced immunosuppression presents with chronic productive cough, night sweats, and significant weight loss over 3 months in Malawi. The images show emaciated patient with wasting and acid-fast bacilli (Mycobacterium tuberculosis) on sputum smear. TB is the leading cause of death in HIV-positive patients and often presents with advanced cavitary disease and severe constitutional symptoms.",0.07272727272727272,0.8496910929679871,0.789404034614563,0.8184389472007751
"A 30-Year-Old Male Chinese with 7 days of fever, chills, headache and a dry cough after receiving a 5-day course of antimalarial treatment with artemether for falciparum. The fever persisted and he developed jaundice","Viral Hepatitis or Severe Malaria with liver dysfunction or possibly artemether-induced liver injury, but more likely is  Leptospirosis or  septicemia, however the most likely diagnosis is Severe Malaria.","Plasmodium knowlesi malaria - The Chinese patient presents with persistent fever, jaundice, and dry cough despite artemether treatment for falciparum malaria. The image shows Plasmodium knowlesi parasites on blood smear with characteristic band forms. P. knowlesi is a simian malaria that can infect humans, causes quotidian fever (24-hour cycle), and can be misidentified as P. falciparum or P. malariae, potentially leading to treatment failure and severe disease.",0.20253164556962025,0.8075037002563477,0.804165244102478,0.8058310747146606
"A 45-Year-Old Man from Sri Lanka With fever, headache, body aches and constant right-sided abdominal pain for a week. He also has a dry cough. His past medical history is unremarkable, but he consumes local alcohol. He is febrile with tender hepatomegaly and intercostal tenderness on the right.",Amebic Liver Abscess.,"Amoebic liver abscess - The patient from Sri Lanka with alcohol consumption presents with fever, right upper quadrant pain, tender hepatomegaly, and dry cough. The images show large liver abscess with 'anchovy paste' appearance on gross pathology and Entamoeba histolytica trophozoites with ingested RBCs. Amoebic liver abscess typically presents with right lobe involvement, point tenderness, and may have pleuropulmonary symptoms from diaphragmatic irritation.",0.10909090909090909,0.8700461387634277,0.789620041847229,0.8278844356536865
"A 7-Year-Old Girl from South Sudan With 4-week history of undulating fever, chills and convulsions. Over time she has developed progressive anorexia, dry cough, chest pain, joint and back pain.",Visceral Leishmaniasis (Kala-azar) or Malaria or Typhoid Fever or Tuberculosis.,"Brucellosis (undulant fever) - The child from South Sudan presents with 4-week history of undulating fever, chills, convulsions, and multiple systemic symptoms including chest pain and joint pain. The images show growth of Brucella species on culture and cattle (reservoir hosts). Brucellosis is a zoonotic infection from unpasteurized dairy or livestock contact, causing chronic relapsing fever with multisystem involvement including pneumonia, arthritis, and occasionally neurobrucellosis.",0.14705882352941174,0.7980214357376099,0.795062780380249,0.7965393662452698
A 67-year-old woman presents to a clinic with palpitations and transient subcutaneous swellings for the past year.,Hereditary Angioedema.,"Loiasis (Loa loa infection/African eye worm) - The expatriate patient presents with palpitations and migratory transient subcutaneous swellings (Calabar swellings). The images show the adult worm migrating across the conjunctiva (eye worm) and microfilariae on blood smear. Loa loa is transmitted by deer flies in Central Africa, causing characteristic migratory angioedema and occasional cardiac symptoms from microfilaremia.",0.0784313725490196,0.8932197093963623,0.7899277210235596,0.8384042382240295
"A 34-year-old man from Thailand presents with a 2-week history of fever, weight loss, fatigue/malaise. The patient has a generalized non-pruritic rash, predominantly on his face and trunk, which consists of small umbilicated papules","Penicilliosis or more likely the disease is  Talaromycosis (formerly known as Penicilliosis) or HIV/AIDS with secondary syphilis are less likely, however the most likely diagnosis is Talaromycosis due to the geographical location (Thailand), symptoms, and the presence of umbilicated papules which is characteristic for this condition. Talaromycosis is an opportunistic infection caused by Talaromyces marneffei.","Disseminated penicilliosis (Talaromyces marneffei infection) - The patient presents with prolonged fever, weight loss, and characteristic umbilicated papular rash on face and trunk in Thailand, endemic for this AIDS-defining illness. The images show multiple umbilicated skin lesions and intracellular yeast forms with central septation (resembling ping-pong balls) on microscopy, pathognomonic for Talaromyces marneffei.",0.3368421052631579,0.8622512817382812,0.8449559807777405,0.8535160422325134
"A 28-year-old man presents to a clinic in Malawi with fever, shortness of breath, nausea/vomiting, abdominal pain. He reports orthopnoea and paroxysmal nocturnal dyspnoea, bilateral flank pain in the past days, which is continuous and dull ",Sickle Cell Disease.,"Schistosomiasis (Bilharzia) with cardiac and renal complications - The patient presents with heart failure symptoms and bilateral flank pain in Malawi, a schistosomiasis-endemic area. The images show Schistosoma eggs with characteristic lateral spine on microscopy and the parasite lifecycle, causing chronic granulomatous disease affecting multiple organ systems.",0.0816326530612245,0.8313419222831726,0.7782877087593079,0.80394047498703
"A 29-Year-Old Woman from Malawi with Confusion, watery diarrhoea and a rash that mainly seems to affect the sun-exposed areas of the skin. The family appear to be poor villagers; they live on an imbalanced diet.",Pellagra.,"Pellagra (niacin/vitamin B3 deficiency) - The malnourished patient presents with the classic triad of dermatitis, diarrhea, and dementia (the 3 D's) with photosensitive rash on sun-exposed areas in Malawi. The images show characteristic hyperpigmented, scaly dermatitis in sun-exposed distribution (Casal's necklace) and the chemical structure of niacin. Pellagra occurs in populations dependent on corn/maize diets poor in niacin and tryptophan.",0.07843137254901959,0.933110237121582,0.783254086971283,0.8516401052474976
"A 72-year-old man presents to a clinic in Laos with extensive, painful verrucous skin lesions on his left foot and lower leg. Ten years prior, he had a leech bite on the dorsum of his left foot. Three days before admission his ankle became painful and swollen.",Chromoblastomycosis.,"Chromoblastomycosis - The elderly patient presents with extensive chronic verrucous (warty) skin lesions on the lower extremity following a leech bite 10 years ago in Laos. The images show cauliflower-like verrucous plaques and characteristic copper-colored sclerotic cells (medlar bodies) on microscopy, typical of this chronic subcutaneous fungal infection caused by dematiaceous fungi from traumatic inoculation.",0.07142857142857142,0.962218165397644,0.7978431582450867,0.872355043888092
"A 25-year-old woman. known to be HIV-positive and on ART, presents to a clinic in Malaw with confusion, high fever and convulsions on admission. Pupils are equal and reactive with photophobia; the neck is stiff and there is no rash.",Cryptococcal Meningitis.,"Cryptococcal meningitis - The HIV-positive patient on ART presents with acute meningitis (fever, confusion, seizures, neck stiffness, photophobia) in Malawi. The images show encapsulated yeast cells with India ink stain and budding Cryptococcus neoformans organisms, the most common cause of fungal meningitis in HIV-positive patients in sub-Saharan Africa.",0.1276595744680851,0.9326683282852173,0.8050107955932617,0.8641504049301147
"An HIV positive and on ART 32-Year-Old Man from Malawi With 6-week history of productive cough and chest pain associated with weight loss, fevers and night sweats. The patient had been treated for acid-fast bacilli (AFB) sputum smearnegative pulmonary tuberculosis 12 years ago.","Tuberculosis or Pulmonary cryptococcosis or Non-Tuberculous Mycobacterial (NTM) infection, or  Lung Cancer or Kaposi's Sarcoma.","Pulmonary aspergilloma (fungus ball) - The HIV-positive patient on ART presents with chronic productive cough, chest pain, weight loss, and constitutional symptoms with prior TB treatment history. The image shows chest imaging with characteristic round intracavitary mass (fungus ball or mycetoma) with air crescent sign, typical of Aspergillus colonizing pre-existing lung cavity (from prior tuberculosis), which can cause hemoptysis and chronic respiratory symptoms.",0.2191780821917808,0.8122422099113464,0.8034547567367554,0.8078246116638184
"A 35-year-old Caucasian man presents to a clinic with fever, rash/lesion on his neck associated with massive neck swelling and fatigue. The patient recalls a break in the skin at the site of the lesion 3 days before.",Anthrax.,"Cutaneous anthrax - The patient presents with a skin lesion that developed from a skin break, associated with massive neck swelling (malignant edema), fever, and fatigue. The images show the characteristic painless black eschar (necrotic ulcer) with surrounding edema and Bacillus anthracis bacteria on microscopy, typical of cutaneous anthrax from spore-forming bacteria exposure.",0.0851063829787234,0.8871368169784546,0.7887949347496033,0.835080623626709
